ang	Isf
2.5	9.8
2.6	11.3
2.7	10.3
2.8	11.5
2.9	11.8
3.0	10.9
3.1	11.7
3.2	11.0
3.3	14.3
3.4	14.2
3.5	15.5
3.6	26.5
3.7	80.0
3.8	243.4
3.9	464.7
4.0	645.7
4.1	787.3
4.2	900.8
4.3	996.7
4.4	1045.2
4.5	1094.7
4.6	1119.8
4.7	1138.8
4.8	1150.9
4.9	1139.1
5.0	1146.7
5.1	1135.5
5.2	1133.0
5.3	1107.6
5.4	1070.1
5.5	1038.1
5.6	982.9
5.7	958.3
5.8	929.0
5.9	893.9
6.0	873.2
6.1	845.5
6.2	907.8
6.3	1173.9
6.4	1561.4
6.5	1599.6
6.6	1059.0
6.7	753.5
6.8	705.9
6.9	697.4
7.0	833.6
7.1	1677.3
7.2	2568.6
7.3	2756.4
7.4	1680.7
7.5	733.9
7.6	496.9
7.7	444.4
7.8	426.2
7.9	418.6
8.0	397.1
8.1	395.2
8.2	389.7
8.3	356.2
8.4	356.5
8.5	354.8
8.6	349.5
8.7	321.5
8.8	323.0
8.9	313.9
9.0	307.2
9.1	300.2
9.2	276.0
9.3	265.8
9.4	262.4
9.5	254.7
9.6	238.9
9.7	236.5
9.8	221.6
9.9	221.5
10.0	212.0
10.1	213.1
10.2	196.7
10.3	195.7
10.4	189.1
10.5	187.2
10.6	175.0
10.7	176.2
10.8	167.7
10.9	154.9
11.0	159.5
11.1	159.6
11.2	149.5
11.3	142.8
11.4	140.9
11.5	136.5
11.6	125.1
11.7	132.3
11.8	124.8
11.9	127.5
12.0	116.9
