ang	I1	I2	I3
2.5	7	4	7
2.6	6	5	3
2.7	8	6	1
2.8	10	6	8
2.9	5	6	7
3.0	3	5	9
3.1	5	7	1
3.2	8	7	9
3.3	8	10	6
3.4	9	4	7
3.5	9	10	9
3.6	20	8	10
3.7	66	27	12
3.8	175	88	49
3.9	351	228	138
4.0	424	319	285
4.1	629	470	405
4.2	730	594	550
4.3	819	699	625
4.4	854	789	702
4.5	1000	892	801
4.6	1012	997	840
4.7	1092	972	909
4.8	1071	1009	929
4.9	1137	987	945
5.0	1077	946	959
5.1	1065	965	938
5.2	1024	968	939
5.3	1018	892	874
5.4	951	920	895
5.5	948	880	843
5.6	917	856	825
5.7	862	820	752
5.8	852	802	785
5.9	784	752	718
6.0	745	710	666
6.1	726	678	674
6.2	802	755	744
6.3	1206	1167	1047
6.4	1568	1483	1393
6.5	1259	1183	1145
6.6	897	837	827
6.7	640	668	634
6.8	628	577	605
6.9	663	629	612
7.0	862	756	788
7.1	1910	1696	1506
7.2	2720	2601	2408
7.3	2368	2308	2289
7.4	1453	1415	1395
7.5	660	700	691
7.6	479	447	457
7.7	392	416	400
7.8	428	399	373
7.9	393	357	369
8.0	394	385	333
8.1	391	357	332
8.2	381	345	348
8.3	377	323	328
8.4	380	311	333
8.5	348	321	323
8.6	326	319	285
8.7	342	319	278
8.8	309	279	329
8.9	318	294	279
9.0	309	285	279
9.1	296	269	269
9.2	277	262	267
9.3	303	254	226
9.4	245	241	239
9.5	265	237	190
9.6	238	220	215
9.7	238	212	218
9.8	230	193	158
9.9	224	190	183
10.0	197	205	187
10.1	219	196	176
10.2	216	173	175
10.3	195	160	198
10.4	160	155	165
10.5	190	165	174
10.6	169	174	154
10.7	184	160	155
10.8	185	143	146
10.9	151	159	131
11.0	171	145	158
11.1	144	139	132
11.2	136	123	144
11.3	132	130	112
11.4	123	133	134
11.5	148	128	158
11.6	146	114	112
11.7	135	142	115
11.8	125	132	112
11.9	126	123	117
12.0	126	122	110
12.1	119	104	118
12.2	123	116	114
12.3	141	126	105
12.4	115	96	102
12.5	121	128	115
12.6	192	152	167
12.7	188	166	160
12.8	281	229	206
12.9	368	367	330
13.0	307	272	286
13.1	184	198	186
13.2	131	119	141
13.3	132	104	118
13.4	126	121	96
13.5	105	131	120
13.6	115	125	81
13.7	127	99	117
13.8	100	101	84
13.9	129	103	94
14.0	114	98	93
14.1	105	98	103
14.2	111	114	113
14.3	157	183	153
14.4	454	360	327
14.5	807	740	715
14.6	815	795	764
14.7	565	525	505
14.8	244	260	237
14.9	98	104	103
15.0	99	89	91
15.1	114	96	85
15.2	87	100	86
15.3	104	92	75
15.4	82	82	74
15.5	83	92	80
15.6	86	101	51
15.7	81	76	84
15.8	86	88	81
15.9	86	74	78
16.0	68	75	89
16.1	73	63	70
16.2	59	74	90
16.3	71	92	67
16.4	69	68	67
16.5	68	67	68
16.6	74	81	56
16.7	75	60	54
16.8	65	69	62
16.9	82	64	72
17.0	84	56	68
17.1	64	70	70
17.2	78	64	70
17.3	73	49	47
17.4	55	64	64
17.5	71	58	56
17.6	56	61	62
17.7	52	59	55
17.8	62	64	48
17.9	57	57	42
18.0	66	50	54
18.1	66	37	43
18.2	57	47	50
18.3	59	39	49
18.4	53	47	40
18.5	41	55	39
18.6	57	55	56
18.7	63	56	33
18.8	43	37	56
18.9	58	49	42
19.0	43	47	45
19.1	51	45	44
19.2	49	44	50
19.3	50	63	48
19.4	52	61	59
19.5	88	95	84
19.6	108	108	97
19.7	74	95	79
19.8	60	51	54
19.9	40	45	57
20.0	36	39	48
20.1	40	36	44
20.2	39	45	37
20.3	35	45	37
20.4	41	35	41
20.5	37	41	45
20.6	34	31	24
20.7	32	42	28
20.8	37	30	38
20.9	35	44	37
21.0	31	30	39
21.1	47	44	25
21.2	34	50	32
21.3	47	36	33
21.4	46	41	38
21.5	38	46	46
21.6	37	32	32
21.7	21	45	43
21.8	34	49	29
21.9	63	59	52
22.0	125	144	112
22.1	258	234	222
22.2	231	237	200
22.3	151	130	143
22.4	69	60	59
22.5	47	39	42
22.6	36	25	29
22.7	30	35	36
22.8	33	28	18
22.9	14	29	37
