ang	U35	U32	U29	U26	U23	U20
2.5	1	2	2	4	0	0
2.6	3	5	1	0	1	2
2.7	3	3	0	1	0	1
2.8	13	7	3	2	2	0
2.9	7	3	0	1	0	2
3.0	2	4	0	2	0	1
3.1	11	4	2	0	0	0
3.2	7	4	2	2	0	0
3.3	8	3	2	0	0	2
3.4	10	6	4	1	2	0
3.5	6	4	0	0	1	2
3.6	6	2	3	1	0	0
3.7	27	6	0	1	0	1
3.8	87	7	1	3	1	1
3.9	229	8	2	0	3	0
4.0	392	11	5	2	3	1
4.1	510	25	3	0	1	1
4.2	622	73	2	3	0	1
4.3	754	217	5	0	0	0
4.4	770	302	7	2	0	0
4.5	860	434	5	0	1	0
4.6	955	568	44	2	1	1
4.7	956	582	147	1	1	2
4.8	1003	653	247	3	1	1
4.9	1018	672	312	5	1	0
5.0	990	671	356	1	2	0
5.1	941	669	432	27	0	0
5.2	958	690	459	67	0	0
5.3	1005	678	448	131	0	1
5.4	909	668	487	177	1	0
5.5	898	706	525	204	1	1
5.6	867	632	464	223	3	2
5.7	800	617	474	266	13	0
5.8	733	606	475	260	27	0
5.9	747	613	432	315	48	0
6.0	716	552	463	305	75	0
6.1	756	569	442	320	130	0
6.2	749	624	481	308	146	0
6.3	1148	862	601	372	171	1
6.4	1425	1094	773	401	176	1
6.5	1146	889	576	422	176	1
6.6	851	630	531	316	191	6
6.7	627	472	420	304	175	25
6.8	580	475	389	265	177	47
6.9	616	479	411	275	161	44
7.0	795	605	471	284	182	64
7.1	1715	1255	851	470	224	65
7.2	2605	1904	1283	647	270	65
7.3	2176	1643	1124	632	228	74
7.4	1329	1029	719	399	214	84
7.5	632	537	377	312	167	70
7.6	431	353	263	216	180	93
7.7	401	325	302	205	155	78
7.8	390	282	243	194	163	86
7.9	407	294	256	165	128	91
8.0	371	283	235	189	122	87
8.1	375	277	203	162	144	68
8.2	359	212	218	154	132	84
8.3	328	223	203	160	120	80
8.4	328	232	228	150	113	67
8.5	300	223	175	150	105	53
8.6	305	247	168	135	109	59
8.7	308	213	158	133	88	68
8.8	321	235	130	114	93	60
8.9	289	209	140	124	88	68
9.0	259	202	127	105	76	80
9.1	296	203	106	97	73	51
9.2	232	197	120	84	67	57
9.3	222	183	118	91	66	53
9.4	248	177	110	83	61	46
9.5	225	182	102	77	48	42
9.6	205	161	91	48	51	38
9.7	208	147	103	61	54	43
9.8	190	156	90	46	56	43
9.9	194	144	72	38	41	31
10.0	193	160	98	46	29	33
10.1	182	167	99	34	35	27
10.2	167	150	95	43	24	18
10.3	201	121	89	30	31	21
10.4	156	143	94	34	21	20
10.5	169	130	98	52	23	22
10.6	153	129	90	42	19	15
10.7	167	126	82	39	13	16
10.8	148	145	90	44	24	12
10.9	159	96	77	40	26	17
11.0	142	124	71	40	12	20
11.1	147	116	74	44	20	12
11.2	142	105	82	58	17	17
11.3	133	116	63	39	13	13
11.4	137	126	83	48	13	14
11.5	134	106	70	59	7	14
11.6	133	85	63	42	8	5
11.7	137	103	70	33	13	5
11.8	132	94	65	36	12	1
11.9	127	105	60	51	13	1
12.0	124	91	64	47	17	2
