ang	Izr
2.5	14.8
2.6	14.1
2.7	12.9
2.8	13.4
2.9	14.3
3.0	14.5
3.1	12.6
3.2	11.2
3.3	13.2
3.4	13.9
3.5	16.9
3.6	14.9
3.7	16.3
3.8	35.2
3.9	85.1
4.0	173.2
4.1	256.8
4.2	322.5
4.3	363.8
4.4	377.2
4.5	374.4
4.6	381.9
4.7	382.8
4.8	362.6
4.9	339.9
5.0	329.7
5.1	296.9
5.2	276.9
5.3	255.5
5.4	235.9
5.5	215.4
5.6	199.3
5.7	172.5
5.8	152.9
5.9	137.4
6.0	127.1
6.1	112.3
6.2	112.8
6.3	128.2
6.4	155.8
6.5	153.7
6.6	98.0
6.7	62.7
6.8	66.8
6.9	118.9
7.0	303.9
7.1	942.5
7.2	1589.9
7.3	1725.5
7.4	991.1
7.5	419.1
7.6	272.6
7.7	250.8
7.8	230.3
7.9	205.3
8.0	194.4
8.1	185.5
8.2	180.3
8.3	182.6
8.4	165.3
8.5	161.7
8.6	150.8
8.7	150.1
8.8	148.3
8.9	133.6
9.0	129.3
9.1	124.0
9.2	116.9
9.3	123.3
9.4	107.0
9.5	106.4
9.6	97.8
9.7	87.2
9.8	91.3
9.9	78.8
10.0	76.1
10.1	76.2
10.2	66.3
10.3	68.3
10.4	70.9
10.5	64.6
10.6	61.1
10.7	57.9
10.8	52.2
10.9	52.9
11.0	50.6
11.1	47.8
11.2	45.3
11.3	44.8
11.4	40.9
11.5	37.7
11.6	39.5
11.7	37.2
11.8	35.2
11.9	34.0
12.0	33.7
