ang	U35	U32	U29	U26	U23	U20
2.5	8	4	1	3	0	0
2.6	5	3	5	2	0	0
2.7	9	5	2	1	3	1
2.8	8	4	3	0	0	1
2.9	9	6	1	1	1	2
3.0	7	3	0	1	1	0
3.1	3	4	0	1	3	3
3.2	8	1	3	1	0	2
3.3	9	7	4	3	1	1
3.4	9	6	2	1	0	0
3.5	19	6	2	1	1	0
3.6	18	7	1	1	0	1
3.7	49	4	6	3	0	0
3.8	126	3	2	1	0	2
3.9	310	15	1	1	2	0
4.0	429	12	1	1	1	0
4.1	590	29	5	0	2	2
4.2	661	103	1	1	0	1
4.3	813	240	5	1	2	0
4.4	851	363	6	3	0	1
4.5	938	504	13	1	2	0
4.6	1033	581	57	2	1	1
4.7	1040	635	148	2	2	0
4.8	1025	655	242	2	3	0
4.9	1061	708	327	4	1	0
5.0	1021	688	383	5	0	1
5.1	1009	759	438	28	1	1
5.2	1047	759	441	89	4	0
5.3	948	737	484	150	1	1
5.4	893	690	481	177	2	1
5.5	836	650	514	237	3	1
5.6	913	688	450	235	4	1
5.7	850	662	486	278	10	1
5.8	835	610	468	285	33	0
5.9	784	593	487	262	64	1
6.0	757	582	455	287	100	0
6.1	737	591	469	276	106	1
6.2	833	679	457	300	136	0
6.3	1193	822	650	389	170	0
6.4	1448	1099	787	457	175	1
6.5	1180	877	671	407	175	0
6.6	868	659	498	354	161	13
6.7	672	514	388	272	168	28
6.8	605	471	388	289	176	33
6.9	613	534	379	291	165	50
7.0	824	615	430	299	171	72
7.1	1767	1307	819	503	206	54
7.2	2672	1926	1313	738	235	69
7.3	2276	1715	1117	620	239	93
7.4	1379	1040	728	411	206	79
7.5	640	517	371	280	178	99
7.6	478	391	276	216	186	77
7.7	404	348	279	222	133	86
7.8	427	353	259	208	121	91
7.9	402	301	235	214	132	93
8.0	405	302	252	207	133	89
8.1	367	265	215	183	122	64
8.2	374	259	239	167	109	75
8.3	346	239	220	157	107	78
8.4	355	233	203	167	112	83
8.5	352	245	187	150	114	72
8.6	318	211	182	132	102	76
8.7	325	230	139	107	91	69
8.8	303	222	155	130	112	72
8.9	296	228	151	109	93	52
9.0	297	233	137	99	92	48
9.1	285	206	117	91	71	42
9.2	266	189	108	91	64	58
9.3	258	176	122	88	58	50
9.4	266	176	101	75	61	37
9.5	247	155	103	73	54	37
9.6	217	158	108	66	52	43
9.7	209	145	110	41	54	30
9.8	208	175	112	57	50	33
9.9	221	159	113	43	32	42
10.0	215	134	94	47	36	35
10.1	172	134	110	43	31	23
10.2	201	140	102	50	25	26
10.3	206	128	96	46	28	18
10.4	192	148	88	40	23	18
10.5	179	122	103	37	29	21
10.6	175	121	75	53	30	20
10.7	160	139	101	41	12	12
10.8	170	127	89	54	16	16
10.9	169	101	88	45	34	8
11.0	156	107	65	41	20	14
11.1	168	104	84	47	22	8
11.2	133	104	80	48	18	8
11.3	143	110	74	50	7	6
11.4	164	114	78	40	10	8
11.5	139	111	72	50	10	10
11.6	119	118	69	43	10	4
11.7	142	98	64	44	13	4
11.8	120	102	70	45	11	8
11.9	123	104	78	33	20	3
12.0	123	79	76	37	14	7
