ang	Imo
2.5	4.6
2.6	4.0
2.7	4.9
2.8	4.4
2.9	4.2
3.0	4.3
3.1	4.2
3.2	4.9
3.3	4.3
3.4	4.1
3.5	4.9
3.6	3.9
3.7	4.4
3.8	5.2
3.9	8.8
4.0	17.6
4.1	29.5
4.2	35.7
4.3	39.2
4.4	38.7
4.5	37.4
4.6	34.3
4.7	30.0
4.8	22.7
4.9	23.1
5.0	19.0
5.1	15.4
5.2	12.4
5.3	12.9
5.4	10.9
5.5	9.2
5.6	7.8
5.7	7.3
5.8	5.5
5.9	5.9
6.0	9.0
6.1	14.1
6.2	62.7
6.3	201.0
6.4	386.7
6.5	434.1
6.6	277.1
6.7	176.9
6.8	148.5
6.9	140.4
7.0	157.9
7.1	292.0
7.2	498.3
7.3	550.7
7.4	284.9
7.5	104.2
7.6	68.3
7.7	57.5
7.8	46.0
7.9	42.9
8.0	39.4
8.1	30.4
8.2	30.7
8.3	30.1
8.4	23.5
8.5	25.9
8.6	22.6
8.7	19.8
8.8	18.3
8.9	18.6
9.0	17.7
9.1	13.6
9.2	15.3
9.3	13.0
9.4	12.9
9.5	11.6
9.6	10.2
9.7	10.5
9.8	12.3
9.9	9.6
10.0	11.0
10.1	9.1
10.2	8.4
10.3	7.9
10.4	7.7
10.5	9.1
10.6	9.6
10.7	8.1
10.8	8.3
10.9	8.9
11.0	6.8
11.1	7.9
11.2	7.4
11.3	7.0
11.4	7.4
11.5	9.1
11.6	6.5
11.7	6.6
11.8	7.3
11.9	6.0
12.0	7.7
