Energy (MeV)	mu/p 	mu_en/p
0.00100	4942.00000	4935.00000
0.00150	1925.00000	1918.00000
0.00200	959.30000	953.10000
0.00252	541.50000	535.80000
0.00252	1979.00000	1924.00000
0.00257	1854.00000	1802.00000
0.00263	1750.00000	1703.00000
0.00263	2433.00000	2360.00000
0.00274	2183.00000	2119.00000
0.00287	1961.00000	1906.00000
0.00287	2243.00000	2179.00000
0.00300	2011.00000	1956.00000
0.00400	970.30000	947.50000
0.00500	545.00000	532.80000
0.00600	337.30000	329.50000
0.00800	156.50000	152.20000
0.01000	85.76000	82.75000
0.01500	28.54000	26.84000
0.02000	13.08000	11.93000
0.02000	80.55000	32.93000
0.02000	80.54000	33.36000
0.03000	28.10000	16.64000
0.04000	12.94000	8.75700
0.05000	7.03700	5.07400
0.06000	4.27400	3.17800
0.08000	1.96200	1.47700
0.10000	1.09600	0.80420
0.15000	0.42080	0.26930
0.20000	0.24230	0.13160
0.30000	0.13790	0.05919
0.40000	0.10470	0.04117
0.50000	0.08848	0.03437
0.60000	0.07851	0.03104
0.80000	0.06619	0.02764
1.00000	0.05837	0.02567
1.25000	0.05167	0.02390
1.50000	0.04713	0.02263
2.00000	0.04163	0.02118
3.00000	0.03675	0.02046
4.00000	0.03496	0.02084
5.00000	0.03439	0.02153
6.00000	0.03440	0.02231
8.00000	0.03523	0.02382
10.00000	0.03650	0.02513
15.00000	0.03978	0.02731
20.00000	0.04264	0.02840
