Energy (MeV)	mu/p 	mu_en/p
0.00100	4210.00000	4203.00000
0.00150	1631.00000	1625.00000
0.00200	811.50000	805.70000
0.00222	625.80000	620.10000
0.00222	2392.00000	2335.00000
0.00226	2239.00000	2186.00000
0.00231	2120.00000	2071.00000
0.00231	2953.00000	2878.00000
0.00242	2641.00000	2575.00000
0.00253	2359.00000	2303.00000
0.00253	2691.00000	2627.00000
0.00300	1772.00000	1734.00000
0.00400	850.70000	834.40000
0.00500	475.50000	466.40000
0.00600	293.50000	287.30000
0.00800	135.60000	132.00000
0.01000	74.17000	71.50000
0.01500	24.63000	23.08000
0.01800	15.01000	13.80000
0.01800	94.70000	41.64000
0.02000	72.37000	35.55000
0.03000	24.85000	16.00000
0.04000	11.39000	8.12900
0.05000	6.17300	4.62100
0.06000	3.74400	2.85900
0.08000	1.72100	1.31000
0.10000	0.96580	0.70800
0.15000	0.37900	0.23610
0.20000	0.22370	0.11640
0.30000	0.13180	0.05420
0.40000	0.10180	0.03885
0.50000	0.08693	0.03311
0.60000	0.07756	0.03025
0.80000	0.06571	0.02726
1.00000	0.05810	0.02547
1.25000	0.05150	0.02380
1.50000	0.04700	0.02257
2.00000	0.04146	0.02112
3.00000	0.03644	0.02033
4.00000	0.03451	0.02061
5.00000	0.03384	0.02123
6.00000	0.03374	0.02193
8.00000	0.03441	0.02335
10.00000	0.03554	0.02460
15.00000	0.03855	0.02670
20.00000	0.04122	0.02778
