Tensao [V];Corrente [A]
-3;-2,344642E-05
-2,95;-1,914695E-05
-2,9;-1,616971E-05
-2,85;-1,469709E-05
-2,8;-1,237396E-05
-2,75;-1,218736E-05
-2,7;-1,073265E-05
-2,65;-9,491626E-06
-2,6;-8,252331E-06
-2,55;-8,118861E-06
-2,5;-7,146259E-06
-2,45;-6,321709E-06
-2,4;-5,492836E-06
-2,35;-4,555949E-06
-2,3;-4,47216E-06
-2,25;-3,685798E-06
-2,2;-3,195049E-06
-2,15;-2,04152E-06
-2,1;-1,977628E-06
-2,05;-1,910646E-06
-2;-1,072503E-06
-1,95;8,881033E-08
-1,9;5,23823E-07
-1,85;1,062892E-06
-1,8;1,117145E-06
-1,75;1,846284E-06
-1,7;2,743744E-06
-1,65;3,111156E-06
-1,6;2,822466E-06
-1,55;3,006233E-06
-1,5;3,594365E-06
-1,45;4,564122E-06
-1,4;4,896066E-06
-1,35;4,920658E-06
-1,3;6,077395E-06
-1,25;6,504251E-06
-1,2;6,982764E-06
-1,15;7,275408E-06
-1,1;7,52171E-06
-1,05;7,969823E-06
-1;7,833755E-06
-0,95;8,909424E-06
-0,9;9,335044E-06
-0,85;1,00695E-05
-0,8;1,071027E-05
-0,75;1,088502E-05
-0,7;1,088836E-05
-0,65;1,177123E-05
-0,6;1,236394E-05
-0,55;1,269823E-05
-0,5;1,353525E-05
-0,45;1,402526E-05
-0,4;1,436302E-05
-0,35;1,544189E-05
-0,3;1,525541E-05
-0,25;1,554719E-05
-0,2;1,561207E-05
-0,15;1,654561E-05
-0,1;1,708616E-05
-0,05;1,737003E-05
0;1,995787E-05
0,05;1,719752E-05
0,1;1,779133E-05
0,15;1,751686E-05
0,2;1,7831E-05
0,25;1,746322E-05
0,3;1,873464E-05
0,35;1,955894E-05
0,4;2,052931E-05
0,45;2,069367E-05
0,5;2,104477E-05
0,55;2,219039E-05
0,6;2,273539E-05
0,65;2,308427E-05
0,7;2,312035E-05
0,75;2,348653E-05
0,8;2,428759E-05
0,85;2,513945E-05
0,9;2,516355E-05
0,95;2,621672E-05
1;2,596238E-05
1,05;2,6084E-05
1,1;2,663183E-05
1,15;2,732477E-05
1,2;2,748147E-05
1,25;2,80607E-05
1,3;2,798433E-05
1,35;2,821073E-05
1,4;2,937142E-05
1,45;2,923524E-05
1,5;2,974477E-05
1,55;2,967161E-05
1,6;3,06719E-05
1,65;3,217564E-05
1,7;3,200868E-05
1,75;3,292073E-05
1,8;3,238834E-05
1,85;3,345004E-05
1,9;3,444426E-05
1,95;3,439432E-05
2;3,508479E-05
