Tensao [V];Corrente [A]
-3;-1,689303E-05
-2,95;-1,167868E-05
-2,9;-8,76841E-06
-2,85;-7,221273E-06
-2,8;-4,648388E-06
-2,75;-1,11897E-06
-2,7;-5,677878E-07
-2,65;-2,056105E-08
-2,6;1,843688E-06
-2,55;2,306136E-06
-2,5;4,730587E-06
-2,45;5,894985E-06
-2,4;7,313223E-06
-2,35;8,359845E-06
-2,3;9,809969E-06
-2,25;1,163517E-05
-2,2;1,287544E-05
-2,15;1,45647E-05
-2,1;1,645478E-05
-2,05;1,813118E-05
-2;2,023197E-05
-1,95;2,103043E-05
-1,9;2,349715E-05
-1,85;2,563045E-05
-1,8;2,759442E-05
-1,75;2,990691E-05
-1,7;3,164621E-05
-1,65;3,305715E-05
-1,6;3,596161E-05
-1,55;3,822391E-05
-1,5;4,146402E-05
-1,45;4,370891E-05
-1,4;4,536342E-05
-1,35;4,951212E-05
-1,3;5,267893E-05
-1,25;5,615755E-05
-1,2;5,951072E-05
-1,15;6,365706E-05
-1,1;6,984967E-05
-1,05;7,909665E-05
-1;8,814402E-05
-0,95;0,0001033405
-0,9;0,0001237118
-0,85;0,0001490436
-0,8;0,0001888179
-0,75;0,0002332448
-0,7;0,0002907354
-0,65;0,0003624732
-0,6;0,0004482452
-0,55;0,0005505715
-0,5;0,0006701018
-0,45;0,0008076834
-0,4;0,0009653103
-0,35;0,001140572
-0,3;0,001335005
-0,25;0,001547219
-0,2;0,001777879
-0,15;0,002027282
-0,1;0,002288436
-0,05;0,002580266
0;0,00288426
0,05;0,003193934
0,1;0,003513839
0,15;0,003838766
0,2;0,004167016
0,25;0,004500186
0,3;0,004838044
0,35;0,005179694
0,4;0,005527607
0,45;0,005879989
0,5;0,006238227
0,55;0,006599102
0,6;0,006963563
0,65;0,007331774
0,7;0,007703012
0,75;0,008078495
0,8;0,00845412
0,85;0,008829931
0,9;0,009206088
0,95;0,009579818
1;0,009949773
1,05;0,01031373
1,1;0,01067
1,15;0,01102469
1,2;0,01136817
1,25;0,01170507
1,3;0,01203411
1,35;0,01235495
1,4;0,0126691
1,45;0,01297408
1,5;0,01327214
1,55;0,0135604
1,6;0,01384362
1,65;0,01411984
1,7;0,01438973
1,75;0,01465392
1,8;0,01491177
1,85;0,01516414
1,9;0,01540953
1,95;0,01565149
2;0,01588958
